t (s),V (mV)
0,15.0841
1,15.028
2.001,14.9674
3,14.9059
4.001,14.8419
5.001,14.7777
6,14.7139
7,14.6503
8.001,14.5878
9,14.5261
10.001,14.4627
11,14.401
12,14.3358
13,14.2675
14.001,14.2057
15,14.1441
16.001,14.08
17.001,14.0162
18.001,13.9562
19,13.8912
20,13.8262
21.001,13.7642
22,13.6986
23,13.6411
24,13.5798
25,13.5161
26,13.4572
27.001,13.3951
28,13.3378
29,13.2754
30.001,13.2151
31.001,13.1562
32.001,13.0947
33,13.0375
34,12.9752
35.001,12.917
36.001,12.855
37.001,12.7981
38,12.7372
39,12.6767
40,12.6221
41,12.5598
42.001,12.505
43,12.4513
44.001,12.3923
45,12.3295
46,12.2793
47.001,12.223
48,12.1679
49,12.1101
50.001,12.0533
51.001,11.998
52,11.9459
53,11.8876
54.001,11.8342
55,11.7804
56.001,11.7271
57,11.6734
58.001,11.6197
59,11.5646
60.001,11.5139
61.001,11.4608
62,11.4091
63.001,11.3592
64.001,11.3044
65,11.2558
66.001,11.205
67.001,11.1541
68,11.1026
69.001,11.0537
70,11.0015
71,10.9555
72,10.9061
73.001,10.8572
74,10.8093
75,10.758
76,10.7108
77.001,10.6616
78,10.6159
78.999,10.5707
79.999,10.5219
80.999,10.4789
81.999,10.4306
82.999,10.3855
83.999,10.3384
85,10.2926
85.999,10.2476
86.999,10.2034
87.999,10.157
88.999,10.1101
89.999,10.067
90.999,10.0214
92,9.9746
93.001,9.9297
94,9.8879
95,9.8446
96,9.8013
97.001,9.7576
98,9.713
99,9.67
100,9.6267
101.001,9.5834
102,9.5426
103.001,9.5009
104,9.4598
105.001,9.4189
106,9.3758
107.001,9.3352
108,9.2924
109.001,9.2517
110,9.2108
111.001,9.1702
112,9.129
113,9.0879
114,9.0462
115,9.0057
116.001,8.9688
117,8.9252
118,8.8866
119.001,8.8452
120,8.808
121,8.769
122.001,8.731
123,8.6931
124.001,8.6564
125,8.6242
126.001,8.5834
127.001,8.5466
128,8.511
129,8.4726
130,8.4367
131,8.3992
132.001,8.3672
133,8.3291
134,8.2921
135,8.2583
136.001,8.223
137,8.1858
138.001,8.1538
139,8.1177
140,8.0811
141,8.0466
142,8.0136
143.001,7.9769
144.001,7.942
145.001,7.9092
146,7.8775
147,7.8443
148,7.8116
149.001,7.7766
150,7.7447
151.001,7.7129
152.001,7.6795
153.001,7.645
154.001,7.6119
155.001,7.5823
156,7.5499
157.001,7.5172
